"year","state","sex","births"
1982,"IA","boy",24454
1983,"IA","boy",23698
1984,"IA","boy",22501
1985,"IA","boy",22194
1986,"IA","boy",21284
1987,"IA","boy",20332
1988,"IA","boy",19973
1989,"IA","boy",19952
1990,"IA","boy",20082
1991,"IA","boy",19336
1992,"IA","boy",19270
1993,"IA","boy",18961
1994,"IA","boy",18567
1995,"IA","boy",18434
1996,"IA","boy",18482
1997,"IA","boy",18641
1998,"IA","boy",18675
1999,"IA","boy",18894
2000,"IA","boy",19282
2001,"IA","boy",19521
2002,"IA","boy",19482
2003,"IA","boy",19660
2004,"IA","boy",19571
2005,"IA","boy",19510
2006,"IA","boy",20420
1981,"ID","boy",10655
1982,"ID","boy",10602
1983,"ID","boy",10373
1984,"ID","boy",9834
1985,"ID","boy",9713
1986,"ID","boy",9303
1987,"ID","boy",8801
1988,"ID","boy",8508
1989,"ID","boy",8427
1990,"ID","boy",8648
1991,"ID","boy",8509
1992,"ID","boy",8760
1993,"ID","boy",8943
1994,"ID","boy",8964
1995,"ID","boy",9139
1996,"ID","boy",9390
1997,"ID","boy",9519
1998,"ID","boy",9748
1999,"ID","boy",9975
2000,"ID","boy",10195
2001,"ID","boy",10711
2002,"ID","boy",10679
2003,"ID","boy",11038
2004,"ID","boy",11549
2005,"ID","boy",11586
2006,"ID","boy",12194
1981,"IL","boy",95142
1982,"IL","boy",95003
1983,"IL","boy",94130
1984,"IL","boy",91421
1985,"IL","boy",92567
1986,"IL","boy",91652
1987,"IL","boy",90385
1988,"IL","boy",90386
1989,"IL","boy",91832
1990,"IL","boy",94230
1991,"IL","boy",95297
1992,"IL","boy",95291
1993,"IL","boy",94040
1994,"IL","boy",92993
1995,"IL","boy",91667
1996,"IL","boy",89619
1997,"IL","boy",88899
1998,"IL","boy",88100
1999,"IL","boy",88454
2000,"IL","boy",89731
2001,"IL","boy",93948
2002,"IL","boy",91851
2003,"IL","boy",92243
2004,"IL","boy",92878
2005,"IL","boy",91022
2006,"IL","boy",91247
1981,"IN","boy",45604
1982,"IN","boy",44837
1983,"IN","boy",43632
1984,"IN","boy",41643
1985,"IN","boy",41866
1986,"IN","boy",41239
1987,"IN","boy",40740
1988,"IN","boy",40953
1989,"IN","boy",41951
1990,"IN","boy",42577
1991,"IN","boy",42267
1992,"IN","boy",42462
1993,"IN","boy",42008
1994,"IN","boy",41693
1995,"IN","boy",41750
1996,"IN","boy",41553
1997,"IN","boy",42210
1998,"IN","boy",42519
1999,"IN","boy",42963
2000,"IN","boy",43710
2001,"IN","boy",45215
2002,"IN","boy",43687
2003,"IN","boy",44016
2004,"IN","boy",45326
2005,"IN","boy",43789
2006,"IN","boy",44775
2005,"KR","boy",2367
1981,"KS","boy",21011
1982,"KS","boy",21154
1983,"KS","boy",21050
1984,"KS","boy",20388
1985,"KS","boy",20698
1986,"KS","boy",20266
1987,"KS","boy",19987
1988,"KS","boy",19837
1989,"KS","boy",19909
1990,"KS","boy",19876
1991,"KS","boy",19060
1992,"KS","boy",19095
1993,"KS","boy",18827
1994,"KS","boy",18781
1995,"KS","boy",18669
1996,"KS","boy",18503
1997,"KS","boy",18987
1998,"KS","boy",19417
1999,"KS","boy",19618
2000,"KS","boy",19956
2001,"KS","boy",19828
2002,"KS","boy",19774
2003,"KS","boy",20104
2004,"KS","boy",19952
2005,"KS","boy",19534
2006,"KS","boy",19968
1981,"KY","boy",30442
1982,"KY","boy",30056
1983,"KY","boy",29335
1984,"KY","boy",28076
1985,"KY","boy",28053
1986,"KY","boy",27406
1987,"KY","boy",26691
1988,"KY","boy",26339
1989,"KY","boy",26448
1990,"KY","boy",26839
1991,"KY","boy",26913
1992,"KY","boy",27102
1993,"KY","boy",26759
1994,"KY","boy",26775
1995,"KY","boy",26632
1996,"KY","boy",26442
1997,"KY","boy",27021
1998,"KY","boy",26967
1999,"KY","boy",27018
2000,"KY","boy",27471
2001,"KY","boy",28685
2002,"KY","boy",27911
2003,"KY","boy",28165
2004,"KY","boy",28321
2005,"KY","boy",28335
2006,"KY","boy",28325
1981,"LA","boy",41178
1982,"LA","boy",41680
1983,"LA","boy",41601
1984,"LA","boy",40271
1985,"LA","boy",40828
1986,"LA","boy",40057
1987,"LA","boy",38430
1988,"LA","boy",37136
1989,"LA","boy",36281
1990,"LA","boy",34736
1991,"LA","boy",35015
1992,"LA","boy",35123
1993,"LA","boy",34091
1994,"LA","boy",33416
1995,"LA","boy",32413
1996,"LA","boy",31728
1997,"LA","boy",32018
1998,"LA","boy",32549
1999,"LA","boy",32852
2000,"LA","boy",33164
2001,"LA","boy",33446
2002,"LA","boy",33214
2003,"LA","boy",33004
2004,"LA","boy",33543
2005,"LA","boy",31732
2006,"LA","boy",27163
1981,"MA","boy",37403
1982,"MA","boy",37645
1983,"MA","boy",37991
1984,"MA","boy",37590
1985,"MA","boy",39522
1986,"MA","boy",40551
1987,"MA","boy",41431
1988,"MA","boy",42754
1989,"MA","boy",44605
1990,"MA","boy",46618
1991,"MA","boy",44329
1992,"MA","boy",43469
1993,"MA","boy",42640
1994,"MA","boy",42093
1995,"MA","boy",41703
1996,"MA","boy",40588
1997,"MA","boy",40234
1998,"MA","boy",40111
1999,"MA","boy",39828
2000,"MA","boy",40398
2001,"MA","boy",41257
2002,"MA","boy",40345
2003,"MA","boy",40348
2004,"MA","boy",39776
2005,"MA","boy",38568
2006,"MA","boy",38509
1981,"MD","boy",30696
1982,"MD","boy",31197
1983,"MD","boy",31552
1984,"MD","boy",31570
1985,"MD","boy",33183
1986,"MD","boy",34252
1987,"MD","boy",35266
1988,"MD","boy",36902
1989,"MD","boy",38679
1990,"MD","boy",40361
1991,"MD","boy",40230
1992,"MD","boy",39365
1993,"MD","boy",38279
1994,"MD","boy",37540
1995,"MD","boy",37007
1996,"MD","boy",36022
1997,"MD","boy",36262
1998,"MD","boy",36079
1999,"MD","boy",35613
2000,"MD","boy",36030
2001,"MD","boy",37282
2002,"MD","boy",37352
2003,"MD","boy",37553
2004,"MD","boy",38402
2005,"MD","boy",38562
2006,"MD","boy",39371
1981,"ME","boy",8607
1982,"ME","boy",8599
1983,"ME","boy",8530
1984,"ME","boy",8289
1985,"ME","boy",8490
1986,"ME","boy",8503
1987,"ME","boy",8491
1988,"ME","boy",8599
1989,"ME","boy",8788
1990,"ME","boy",9030
1991,"ME","boy",8384
1992,"ME","boy",8112
1993,"ME","boy",7690
1994,"ME","boy",7339
1995,"ME","boy",7113
1996,"ME","boy",7020
1997,"ME","boy",7000
1998,"ME","boy",6946
1999,"ME","boy",6882
2000,"ME","boy",6991
2001,"ME","boy",7196
2002,"ME","boy",7070
2003,"ME","boy",7260
2004,"ME","boy",7333
2005,"ME","boy",7193
2006,"ME","boy",7105
1981,"MI","boy",74849
1982,"MI","boy",73540
1983,"MI","boy",71792
1984,"MI","boy",68960
1985,"MI","boy",70259
1986,"MI","boy",70502
1987,"MI","boy",71003
1988,"MI","boy",72631
1989,"MI","boy",75058
1990,"MI","boy",77753
1991,"MI","boy",74103
1992,"MI","boy",72461
1993,"MI","boy",70430
1994,"MI","boy",68830
1995,"MI","boy",67980
1996,"MI","boy",66938
1997,"MI","boy",67140
1998,"MI","boy",66748
1999,"MI","boy",66866
2000,"MI","boy",68052
2001,"MI","boy",69247
2002,"MI","boy",67145
2003,"MI","boy",66688
2004,"MI","boy",66814
2005,"MI","boy",65191
2006,"MI","boy",64921
1981,"MN","boy",35361
1982,"MN","boy",35674
1983,"MN","boy",35322
1984,"MN","boy",33952
1985,"MN","boy",34551
1986,"MN","boy",34160
1987,"MN","boy",33605
1988,"MN","boy",33937
1989,"MN","boy",34509
1990,"MN","boy",35428
1991,"MN","boy",33342
1992,"MN","boy",33165
1993,"MN","boy",32580
1994,"MN","boy",32191
1995,"MN","boy",31932
1996,"MN","boy",32069
1997,"MN","boy",32532
1998,"MN","boy",32620
1999,"MN","boy",33109
2000,"MN","boy",33828
2001,"MN","boy",34735
2002,"MN","boy",34070
2003,"MN","boy",35190
2004,"MN","boy",36027
2005,"MN","boy",35632
2006,"MN","boy",36735
1981,"MO","boy",39825
1982,"MO","boy",39681
1983,"MO","boy",39147
1984,"MO","boy",38115
1985,"MO","boy",38829
1986,"MO","boy",38546
1987,"MO","boy",38167
1988,"MO","boy",38207
1989,"MO","boy",38535
1990,"MO","boy",39171
1991,"MO","boy",38842
1992,"MO","boy",38403
1993,"MO","boy",37546
1994,"MO","boy",36687
1995,"MO","boy",36574
1996,"MO","boy",36613
1997,"MO","boy",36892
1998,"MO","boy",37187
1999,"MO","boy",37182
2000,"MO","boy",37759
2001,"MO","boy",38732
2002,"MO","boy",38699
2003,"MO","boy",38989
2004,"MO","boy",39967
2005,"MO","boy",39487
2006,"MO","boy",40717
1981,"MS","boy",23607
1982,"MS","boy",23583
1983,"MS","boy",23264
1984,"MS","boy",22452
1985,"MS","boy",22716
1986,"MS","boy",22190
1987,"MS","boy",21461
1988,"MS","boy",21013
1989,"MS","boy",21018
1990,"MS","boy",20584
1991,"MS","boy",20733
1992,"MS","boy",21172
1993,"MS","boy",20816
1994,"MS","boy",20603
1995,"MS","boy",20352
1996,"MS","boy",20003
1997,"MS","boy",20428
1998,"MS","boy",20829
1999,"MS","boy",21063
2000,"MS","boy",21458
2001,"MS","boy",21986
2002,"MS","boy",21034
2003,"MS","boy",21396
2004,"MS","boy",21947
2005,"MS","boy",22319
2006,"MS","boy",22762
1981,"MT","boy",7415
1982,"MT","boy",7491
1983,"MT","boy",7484
1984,"MT","boy",7270
1985,"MT","boy",7355
1986,"MT","boy",7049
1987,"MT","boy",6674
1988,"MT","boy",6365
1989,"MT","boy",6167
1990,"MT","boy",6103
1991,"MT","boy",5754
1992,"MT","boy",5816
1993,"MT","boy",5728
1994,"MT","boy",5617
1995,"MT","boy",5570
1996,"MT","boy",5560
1997,"MT","boy",5483
1998,"MT","boy",5474
1999,"MT","boy",5516
2000,"MT","boy",5600
2001,"MT","boy",5476
2002,"MT","boy",5672
2003,"MT","boy",5756
2004,"MT","boy",5828
2005,"MT","boy",5845
2006,"MT","boy",6185
1981,"NC","boy",43369
1982,"NC","boy",43569
1983,"NC","boy",43304
1984,"NC","boy",42293
1985,"NC","boy",43840
1986,"NC","boy",44651
1987,"NC","boy",45339
1988,"NC","boy",46820
1989,"NC","boy",49078
1990,"NC","boy",51062
1991,"NC","boy",51229
1992,"NC","boy",51102
1993,"NC","boy",50509
1994,"NC","boy",50223
1995,"NC","boy",50356
1996,"NC","boy",50882
1997,"NC","boy",52431
1998,"NC","boy",54181
1999,"NC","boy",55928
2000,"NC","boy",57240
2001,"NC","boy",60949
2002,"NC","boy",60070
2003,"NC","boy",60250
2004,"NC","boy",60692
2005,"NC","boy",62665
2006,"NC","boy",65537
1981,"ND","boy",6288
1982,"ND","boy",6378
1983,"ND","boy",6383
1984,"ND","boy",6181
1985,"ND","boy",6182
1986,"ND","boy",5949
1987,"ND","boy",5619
1988,"ND","boy",5303
1989,"ND","boy",5069
1990,"ND","boy",4794
1991,"ND","boy",4307
1992,"ND","boy",4302
1993,"ND","boy",4299
1994,"ND","boy",4285
1995,"ND","boy",4252
1996,"ND","boy",4200
1997,"ND","boy",4179
1998,"ND","boy",4049
1999,"ND","boy",3907
2000,"ND","boy",3990
2001,"ND","boy",3740
2002,"ND","boy",3830
2003,"ND","boy",3989
2004,"ND","boy",4004
2005,"ND","boy",4171
2006,"ND","boy",4326
1981,"NE","boy",14000
1982,"NE","boy",14041
1983,"NE","boy",13899
1984,"NE","boy",13478
1985,"NE","boy",13615
1986,"NE","boy",13281
1987,"NE","boy",12833
1988,"NE","boy",12655
1989,"NE","boy",12640
1990,"NE","boy",12613
1991,"NE","boy",11936
1992,"NE","boy",11718
1993,"NE","boy",11527
1994,"NE","boy",11536
1995,"NE","boy",11586
1996,"NE","boy",11610
1997,"NE","boy",11732
1998,"NE","boy",11799
1999,"NE","boy",11874
2000,"NE","boy",12184
2001,"NE","boy",12635
2002,"NE","boy",12732
2003,"NE","boy",13217
2004,"NE","boy",13527
2005,"NE","boy",13238
2006,"NE","boy",13319
1981,"NH","boy",6980
1982,"NH","boy",7074
1983,"NH","boy",7041
1984,"NH","boy",6942
1985,"NH","boy",7256
1986,"NH","boy",7555
1987,"NH","boy",7818
1988,"NH","boy",8269
1989,"NH","boy",8718
1990,"NH","boy",9114
1991,"NH","boy",8198
1992,"NH","boy",8054
1993,"NH","boy",7838
1994,"NH","boy",7683
1995,"NH","boy",7536
1996,"NH","boy",7398
1997,"NH","boy",7378
1998,"NH","boy",7342
1999,"NH","boy",7227
2000,"NH","boy",7302
2001,"NH","boy",7702
2002,"NH","boy",7797
2003,"NH","boy",7652
2004,"NH","boy",7496
2005,"NH","boy",7843
2006,"NH","boy",7778
1981,"NJ","boy",49980
1982,"NJ","boy",49772
1983,"NJ","boy",49631
1984,"NJ","boy",48848
1985,"NJ","boy",50901
1986,"NJ","boy",52247
1987,"NJ","boy",53588
1988,"NJ","boy",55592
1989,"NJ","boy",57883
1990,"NJ","boy",60374
1991,"NJ","boy",60383
1992,"NJ","boy",60086
1993,"NJ","boy",59001
1994,"NJ","boy",58288
1995,"NJ","boy",57553
1996,"NJ","boy",56300
1997,"NJ","boy",55763
1998,"NJ","boy",55632
1999,"NJ","boy",56197
2000,"NJ","boy",56969
2001,"NJ","boy",56816
2002,"NJ","boy",57122
2003,"NJ","boy",58886
2004,"NJ","boy",58809
2005,"NJ","boy",56719
2006,"NJ","boy",55749
1981,"NM","boy",13569
1982,"NM","boy",13862
1983,"NM","boy",14029
1984,"NM","boy",13737
1985,"NM","boy",13991
1986,"NM","boy",13886
1987,"NM","boy",13660
1988,"NM","boy",13555
1989,"NM","boy",13532
1990,"NM","boy",13632
1991,"NM","boy",13758
1992,"NM","boy",13924
1993,"NM","boy",13906
1994,"NM","boy",13666
1995,"NM","boy",13555
1996,"NM","boy",13428
1997,"NM","boy",13486
1998,"NM","boy",13422
1999,"NM","boy",13449
2000,"NM","boy",13494
2001,"NM","boy",13519
2002,"NM","boy",13610
2003,"NM","boy",13905
2004,"NM","boy",14134
2005,"NM","boy",14695
2006,"NM","boy",14885
1981,"NV","boy",7242
1982,"NV","boy",7645
1983,"NV","boy",7825
1984,"NV","boy",7708
1985,"NV","boy",8062
1986,"NV","boy",8227
1987,"NV","boy",8513
1988,"NV","boy",9048
1989,"NV","boy",9777
1990,"NV","boy",10815
1991,"NV","boy",11211
1992,"NV","boy",11062
1993,"NV","boy",11376
1994,"NV","boy",12089
1995,"NV","boy",12702
1996,"NV","boy",13110
1997,"NV","boy",13635
1998,"NV","boy",14333
1999,"NV","boy",14854
2000,"NV","boy",15280
2001,"NV","boy",16155
2002,"NV","boy",16551
2003,"NV","boy",17110
2004,"NV","boy",18012
2005,"NV","boy",18716
2006,"NV","boy",20106
1981,"NY","boy",123000
1982,"NY","boy",123215
1983,"NY","boy",123747
1984,"NY","boy",121650
1985,"NY","boy",126160
1986,"NY","boy",128108
1987,"NY","boy",129689
1988,"NY","boy",133143
1989,"NY","boy",138153
1990,"NY","boy",144399
1991,"NY","boy",145732
1992,"NY","boy",144276
1993,"NY","boy",140969
1994,"NY","boy",137584
1995,"NY","boy",133951
1996,"NY","boy",128814
1997,"NY","boy",125554
1998,"NY","boy",123925
1999,"NY","boy",124529
2000,"NY","boy",125974
2001,"NY","boy",128298
2002,"NY","boy",126109
2003,"NY","boy",126514
2004,"NY","boy",127391
2005,"NY","boy",125059
2006,"NY","boy",124714
1981,"OH","boy",86518
1982,"OH","boy",85848
1983,"OH","boy",84634
1984,"OH","boy",81553
1985,"OH","boy",82523
1986,"OH","boy",81514
1987,"OH","boy",80538
1988,"OH","boy",81124
1989,"OH","boy",82593
1990,"OH","boy",83692
1991,"OH","boy",82035
1992,"OH","boy",81955
1993,"OH","boy",79994
1994,"OH","boy",78478
1995,"OH","boy",77460
1996,"OH","boy",76469
1997,"OH","boy",76769
1998,"OH","boy",76113
1999,"OH","boy",75701
2000,"OH","boy",76518
2001,"OH","boy",79110
2002,"OH","boy",76028
2003,"OH","boy",76424
2004,"OH","boy",76916
2005,"OH","boy",74911
2006,"OH","boy",75188
1981,"OK","boy",26500
1982,"OK","boy",27477
1983,"OK","boy",28655
1984,"OK","boy",27873
1985,"OK","boy",28236
1986,"OK","boy",27506
1987,"OK","boy",26242
1988,"OK","boy",24851
1989,"OK","boy",24158
1990,"OK","boy",23853
1991,"OK","boy",23783
1992,"OK","boy",23785
1993,"OK","boy",23120
1994,"OK","boy",22734
1995,"OK","boy",22526
1996,"OK","boy",22894
1997,"OK","boy",23935
1998,"OK","boy",24355
1999,"OK","boy",24357
2000,"OK","boy",24629
2001,"OK","boy",24422
2002,"OK","boy",25139
2003,"OK","boy",25379
2004,"OK","boy",25584
2005,"OK","boy",26331
2006,"OK","boy",27354
1981,"OR","boy",22628
1982,"OR","boy",22392
1983,"OR","boy",21886
1984,"OR","boy",20960
1985,"OR","boy",21033
1986,"OR","boy",20598
1987,"OR","boy",20193
1988,"OR","boy",20339
1989,"OR","boy",20984
1990,"OR","boy",22257
1991,"OR","boy",21655
1992,"OR","boy",21363
1993,"OR","boy",20978
1994,"OR","boy",21249
1995,"OR","boy",21716
1996,"OR","boy",21829
1997,"OR","boy",22252
1998,"OR","boy",22375
1999,"OR","boy",22549
2000,"OR","boy",22928
2001,"OR","boy",23342
2002,"OR","boy",23139
2003,"OR","boy",23250
2004,"OR","boy",22989
2005,"OR","boy",23238
2006,"OR","boy",24535
1981,"PA","boy",81545
1982,"PA","boy",81588
1983,"PA","boy",81161
1984,"PA","boy",78677
1985,"PA","boy",80368
1986,"PA","boy",80883
1987,"PA","boy",80855
1988,"PA","boy",81976
1989,"PA","boy",83969
1990,"PA","boy",85993
1991,"PA","boy",83603
1992,"PA","boy",82603
1993,"PA","boy",80671
1994,"PA","boy",78393
1995,"PA","boy",76238
1996,"PA","boy",73506
1997,"PA","boy",72651
1998,"PA","boy",72063
1999,"PA","boy",71918
2000,"PA","boy",72882
2001,"PA","boy",74557
2002,"PA","boy",72992
2003,"PA","boy",73848
2004,"PA","boy",74659
2005,"PA","boy",73849
2006,"PA","boy",74279
1981,"RI","boy",6373
1982,"RI","boy",6429
1983,"RI","boy",6433
1984,"RI","boy",6291
1985,"RI","boy",6557
1986,"RI","boy",6700
1987,"RI","boy",6857
1988,"RI","boy",7059
1989,"RI","boy",7274
1990,"RI","boy",7571
1991,"RI","boy",7439
1992,"RI","boy",7353
1993,"RI","boy",7219
1994,"RI","boy",6927
1995,"RI","boy",6805
1996,"RI","boy",6704
1997,"RI","boy",6609
1998,"RI","boy",6374
1999,"RI","boy",6212
2000,"RI","boy",6249
2001,"RI","boy",6453
2002,"RI","boy",6440
2003,"RI","boy",6501
2004,"RI","boy",6748
2005,"RI","boy",6251
2006,"RI","boy",6333
1981,"SC","boy",26237
1982,"SC","boy",26308
1983,"SC","boy",26160
1984,"SC","boy",25556
1985,"SC","boy",26205
1986,"SC","boy",26333
1987,"SC","boy",26353
1988,"SC","boy",26852
1989,"SC","boy",27860
1990,"SC","boy",28292
1991,"SC","boy",28553
1992,"SC","boy",27913
1993,"SC","boy",26932
1994,"SC","boy",26056
1995,"SC","boy",25580
1996,"SC","boy",25593
1997,"SC","boy",26168
1998,"SC","boy",26799
1999,"SC","boy",27364
2000,"SC","boy",27986
2001,"SC","boy",28717
2002,"SC","boy",28301
2003,"SC","boy",28093
2004,"SC","boy",28901
2005,"SC","boy",29683
2006,"SC","boy",30350
1981,"SD","boy",6655
1982,"SD","boy",6678
1983,"SD","boy",6648
1984,"SD","boy",6432
